date,symbol,currency,open,close,high,low,volume
2025-11-12,1910.HK,HKD,16.78,16.68,16.89,16.58,3938832
2025-11-13,1910.HK,HKD,19.18,19.08,20.96,18.78,39154228
2025-11-14,1910.HK,HKD,18.8,18.63,19.17,18.51,13073107
2025-11-17,1910.HK,HKD,18.4,19.12,19.35,18.4,15383614
2025-11-18,1910.HK,HKD,18.8,19.1,19.3,18.72,11660594
2025-11-19,1910.HK,HKD,19.0,18.95,19.0,18.8,4201944
2025-11-20,1910.HK,HKD,18.95,19.59,19.66,18.81,11451549
2025-11-21,1910.HK,HKD,19.22,19.18,19.46,19.11,4458777
2025-11-24,1910.HK,HKD,19.34,19.22,19.5,19.17,3397544
2025-11-25,1910.HK,HKD,19.13,19.22,19.3,18.97,5383100
2025-11-26,1910.HK,HKD,19.23,19.5,19.68,19.23,3070100
2025-11-27,1910.HK,HKD,19.5,19.46,19.59,19.37,1919200
2025-11-28,1910.HK,HKD,19.26,19.23,19.31,18.99,2245807
2025-12-01,1910.HK,HKD,19.09,19.5,19.51,19.09,2458236
2025-12-02,1910.HK,HKD,19.42,19.66,19.66,19.37,1548971
2025-12-03,1910.HK,HKD,19.32,19.0,19.54,18.87,4297866
2025-12-04,1910.HK,HKD,19.16,19.4,19.48,19.12,3312300
2025-12-05,1910.HK,HKD,19.2,19.2,19.45,18.88,3024322
2025-12-08,1910.HK,HKD,19.6,19.28,19.6,19.24,1855328
2025-12-09,1910.HK,HKD,19.2,19.5,19.6,19.12,2243819
2025-12-10,1910.HK,HKD,19.58,19.26,19.58,19.14,2310000
2025-12-11,1910.HK,HKD,19.58,19.4,19.6,19.26,1939200
2025-12-12,1910.HK,HKD,19.48,19.44,19.6,19.14,4663040
2025-12-15,1910.HK,HKD,19.44,19.58,19.64,19.16,2026910
2025-12-16,1910.HK,HKD,19.38,19.55,19.62,19.37,2636618
2025-12-17,1910.HK,HKD,19.65,20.28,20.5,19.54,9125000
2025-12-18,1910.HK,HKD,20.3,20.32,20.86,20.24,5130349
2025-12-19,1910.HK,HKD,20.2,20.2,20.36,20.02,4378245
2025-12-22,1910.HK,HKD,20.2,20.02,20.24,19.87,2319420
2025-12-23,1910.HK,HKD,20.32,20.04,20.32,19.45,1967583
2025-12-24,1910.HK,HKD,20.0,19.47,20.0,19.42,1993100
2025-12-29,1910.HK,HKD,19.45,19.97,20.06,19.45,2393172
2025-12-30,1910.HK,HKD,19.97,20.12,20.18,19.47,4920166
2025-12-31,1910.HK,HKD,20.12,19.9,20.12,19.9,1119791
2026-01-02,1910.HK,HKD,19.9,20.0,20.1,19.9,1106891
2026-01-05,1910.HK,HKD,20.02,20.18,20.6,19.88,4142264
2026-01-06,1910.HK,HKD,20.2,20.22,20.32,19.65,3645903
2026-01-07,1910.HK,HKD,20.0,20.04,20.2,19.86,2045188
2026-01-08,1910.HK,HKD,20.5,20.34,20.7,20.1,2892665
2026-01-09,1910.HK,HKD,20.62,20.88,20.96,20.38,5906800
2026-01-12,1910.HK,HKD,20.82,20.18,20.82,20.1,3906710
2026-01-13,1910.HK,HKD,20.36,20.24,20.52,20.14,4995560
2026-01-14,1910.HK,HKD,20.4,20.46,20.68,20.24,2628533
2026-01-15,1910.HK,HKD,20.5,20.88,21.18,20.5,2322596
2026-01-16,1910.HK,HKD,20.88,20.78,21.0,20.64,1504500
2026-01-19,1910.HK,HKD,20.82,21.24,21.34,20.62,4538920
2026-01-20,1910.HK,HKD,21.24,21.16,21.38,21.02,2932445
2026-01-21,1910.HK,HKD,20.72,20.78,21.04,20.62,3154305
2026-01-22,1910.HK,HKD,21.0,21.5,21.54,20.7,2829571
2026-01-23,1910.HK,HKD,21.0,21.2,21.5,21.0,1897480
