date,cum_net_buy,hs300,hs300_chg
2014-11-17,0.0121,2474.0100,-0.1900
2014-11-18,0.0168,2456.3700,-0.7100
2014-11-19,0.0193,2450.9900,-0.2200
2014-11-20,0.0214,2452.6600,0.0700
2014-11-21,0.0236,2486.7900,1.3900
2014-11-24,0.0295,2532.8800,1.8500
2014-11-25,0.0322,2567.6000,1.3700
2014-11-26,0.0354,2604.3400,1.4300
2014-11-27,0.0383,2630.4900,1.0000
2014-11-28,0.0406,2682.8400,1.9900
2014-12-01,0.0419,2680.1600,-0.1000
2014-12-02,0.0450,2763.5500,3.1100
2014-12-03,0.0487,2779.5300,0.5800
2014-12-04,0.0520,2899.4600,4.3100
2014-12-05,0.0545,2937.6500,1.3200
2014-12-08,0.0559,3020.2600,2.8100
2014-12-09,0.0569,2856.2700,-5.4300
2014-12-10,0.0588,2940.0100,2.9300
2014-12-11,0.0597,2925.7400,-0.4900
2014-12-12,0.0614,2938.1700,0.4200
2014-12-15,0.0623,2953.4200,0.5200
2014-12-16,0.0635,3021.5200,2.3100
2014-12-17,0.0640,3061.0200,1.3100
2014-12-18,0.0658,3057.5200,-0.1100
2014-12-19,0.0667,3108.6000,1.6700
2014-12-22,0.0680,3127.4500,0.6100
2014-12-23,0.0686,3032.6100,-3.0300
2014-12-29,0.0693,3168.0200,0.3300
2014-12-30,0.0686,3165.8200,-0.0700
2014-12-31,0.0686,3234.6800,2.1800
2015-01-05,0.0706,3350.5200,3.5800
2015-01-06,0.0705,3351.4500,0.0300
2015-01-07,0.0709,3373.9500,0.6700
2015-01-08,0.0709,3293.4600,-2.3900
2015-01-09,0.0724,3285.4100,-0.2400
2015-01-12,0.0711,3229.3200,-1.7100
2015-01-13,0.0709,3235.3000,0.1900
2015-01-14,0.0715,3222.4400,-0.4000
2015-01-15,0.0722,3336.4600,3.5400
2015-01-16,0.0723,3376.5000,1.2000
2015-01-19,0.0720,3116.3500,-7.7000
2015-01-20,0.0741,3173.0500,1.8200
2015-01-21,0.0760,3323.6100,4.7400
2015-01-22,0.0762,3343.3400,0.5900
2015-01-23,0.0764,3351.7600,0.2500
2015-01-26,0.0768,3383.1800,0.9400
2015-01-27,0.0777,3352.9600,-0.8900
2015-01-28,0.0789,3305.7400,-1.4100
2015-01-29,0.0799,3262.3100,-1.3100
2015-01-30,0.0799,3210.3600,-1.5900
2015-02-02,0.0801,3128.3000,-2.5600
2015-02-03,0.0828,3204.9100,2.4500
2015-02-04,0.0839,3174.1300,-0.9600
2015-02-05,0.0867,3136.5300,-1.1800
2015-02-06,0.0869,3075.9100,-1.9300
2015-02-09,0.0880,3095.1200,0.6200
2015-02-10,0.0896,3141.5900,1.5000
2015-02-11,0.0910,3157.7000,0.5100
2015-02-12,0.0921,3173.4200,0.5000
2015-02-13,0.0941,3203.8300,0.9600
2015-02-16,0.0942,3222.3600,0.5800
2015-02-17,0.0944,3246.9100,0.7600
2015-02-25,0.0954,3228.8400,-0.5600
2015-02-26,0.0950,3298.3600,2.1500
2015-02-27,0.0956,3310.3000,0.3600
2015-03-02,0.0964,3336.2900,0.7800
2015-03-03,0.0965,3263.0500,-2.2000
2015-03-04,0.0968,3279.5300,0.5100
2015-03-05,0.0974,3248.4800,-0.9500
2015-03-06,0.0978,3241.1900,-0.2200
2015-03-09,0.0984,3302.4100,1.8900
2015-03-10,0.0985,3286.0700,-0.4900
2015-03-11,0.0993,3290.9000,0.1500
2015-03-12,0.1009,3349.3200,1.7800
2015-03-13,0.1025,3372.9100,0.7000
2015-03-16,0.1039,3449.3100,2.2600
2015-03-17,0.1060,3502.8500,1.5500
2015-03-18,0.1076,3577.3000,2.1300
2015-03-19,0.1076,3582.2700,0.1400
2015-03-20,0.1088,3617.3200,0.9800
2015-03-23,0.1106,3687.7300,1.9500
2015-03-24,0.1090,3691.4100,0.1000
2015-03-25,0.1090,3660.7300,-0.8300
2015-03-26,0.1080,3682.1000,0.5800
2015-03-27,0.1081,3691.1000,0.2400
2015-03-30,0.1068,3786.5700,2.5900
2015-03-31,0.1054,3747.9000,-1.0200
2015-04-01,0.1054,3810.2900,1.6600
2015-04-08,0.1014,3994.8100,0.8400
2015-04-09,0.0963,3957.5300,-0.9300
2015-04-10,0.0954,4034.3100,1.9400
2015-04-13,0.0963,4121.7200,2.1700
2015-04-14,0.0968,4135.5600,0.3400
2015-04-15,0.0978,4084.1600,-1.2400
2015-04-16,0.0994,4194.8200,2.7100
2015-04-17,0.1010,4287.3000,2.2000
2015-04-20,0.0998,4217.0800,-1.6400
2015-04-21,0.1012,4293.6200,1.8200
2015-04-22,0.1019,4398.4900,2.4400
2015-04-23,0.1012,4414.5100,0.3600
2015-04-24,0.1012,4393.6900,-0.4700
2015-04-27,0.1023,4527.4000,3.0400
2015-04-28,0.1020,4476.2200,-1.1300
2015-04-29,0.1023,4476.6200,0.0100
2015-04-30,0.1018,4441.6600,-0.7800
2015-05-04,0.1019,4480.4600,0.8700
2015-05-05,0.1027,4298.7100,-4.0600
2015-05-06,0.1031,4229.2700,-1.6200
2015-05-07,0.1056,4112.2100,-2.7700
2015-05-08,0.1064,4205.9200,2.2800
2015-05-11,0.1063,4333.5800,3.0400
2015-05-12,0.1059,4401.2200,1.5600
2015-05-13,0.1055,4375.7600,-0.5800
2015-05-14,0.1053,4378.3100,0.0600
2015-05-15,0.1058,4308.6900,-1.5900
2015-05-18,0.1069,4283.4900,-0.5800
2015-05-19,0.1089,4417.5500,3.1300
2015-05-20,0.1117,4446.2900,0.6500
2015-05-21,0.1135,4529.4200,1.8700
2015-05-26,0.1169,4910.9000,2.0200
2015-05-27,0.1171,4941.7100,0.6300
2015-05-28,0.1140,4620.2700,-6.5000
2015-05-29,0.1161,4611.7400,-0.1800
2015-06-01,0.1178,4828.7400,4.7100
2015-06-02,0.1180,4910.5300,1.6900
2015-06-03,0.1180,4909.9800,-0.0100
2015-06-04,0.1170,4947.1000,0.7600
2015-06-05,0.1156,5023.1000,1.5400
2015-06-08,0.1143,5131.8800,2.1700
2015-06-09,0.1127,5113.5300,-0.3600
2015-06-10,0.1141,5106.0400,-0.1500
2015-06-11,0.1131,5121.5900,0.3000
2015-06-12,0.1144,5166.3500,0.8700
2015-06-15,0.1132,5062.9900,-2.0000
2015-06-16,0.1131,4887.4300,-3.4700
2015-06-17,0.1120,4967.9000,1.6500
2015-06-18,0.1126,4785.3600,-3.6700
2015-06-19,0.1203,4478.3600,-6.4200
2015-06-23,0.1272,4576.4900,2.1900
2015-06-24,0.1240,4690.1500,2.4800
2015-06-25,0.1204,4527.7800,-3.4600
2015-06-26,0.1235,4192.8700,-7.4000
2015-06-29,0.1220,4053.0300,-3.3400
2015-07-02,0.1247,3912.7700,-3.4800
2015-07-03,0.1316,3686.9200,-5.7700
2015-07-06,0.1181,3775.9100,2.4100
2015-07-07,0.1078,3727.1200,-1.2900
2015-07-08,0.1011,3507.1900,-5.9000
2015-07-09,0.0974,3709.3300,5.7600
2015-07-10,0.0945,3877.8000,4.5400
2015-07-13,0.0922,3970.3900,2.3900
2015-07-14,0.0907,3924.4900,-1.1600
2015-07-15,0.0903,3805.7000,-3.0300
2015-07-16,0.0898,3823.1800,0.4600
2015-07-17,0.0900,3957.3500,3.5100
2015-07-20,0.0896,3992.1100,0.8800
2015-07-21,0.0889,4017.6700,0.6400
2015-07-22,0.0883,4026.0500,0.2100
2015-07-23,0.0887,4123.9200,2.4300
2015-07-24,0.0886,4070.9100,-1.2900
2015-07-27,0.0884,3725.5600,-8.4800
2015-07-28,0.0909,3663.0000,-1.6800
2015-07-29,0.0902,3789.1700,3.4400
2015-07-30,0.0900,3705.7700,-2.2000
2015-07-31,0.0905,3663.7300,-1.1300
2015-08-03,0.0883,3622.9100,-1.1100
2015-08-04,0.0879,3756.5400,3.6900
2015-08-05,0.0879,3694.5700,-1.6500
2015-08-06,0.0881,3661.5400,-0.8900
2015-08-07,0.0889,3744.2000,2.2600
2015-08-10,0.0891,3928.4200,4.9200
2015-08-11,0.0897,3927.9100,-0.0100
2015-08-12,0.0895,3886.3200,-1.0600
2015-08-13,0.0897,3954.5600,1.7600
2015-08-14,0.0897,3965.3300,0.2700
2015-08-17,0.0891,3993.6700,0.7100
2015-08-18,0.0886,3748.1600,-6.1500
2015-08-19,0.0886,3794.1100,1.2300
2015-08-20,0.0878,3664.2900,-3.4200
2015-08-21,0.0869,3507.7400,-4.2700
2015-08-24,0.0950,3209.9100,-8.4900
2015-08-25,0.1030,2964.9700,-7.6300
2015-08-26,0.1104,2927.2900,-1.2700
2015-08-27,0.1151,3083.5900,5.3400
2015-08-28,0.1125,3232.3500,4.8200
2015-08-31,0.1119,3205.9900,-0.8200
2015-09-01,0.1106,3166.6200,-1.2300
2015-09-02,0.1076,3160.1700,-0.2000
2015-09-07,0.1074,3080.4200,-2.5200
2015-09-08,0.1118,3170.4500,2.9200
2015-09-09,0.1088,3243.0900,2.2900
2015-09-10,0.1117,3197.8900,-1.3900
2015-09-11,0.1116,3200.2300,0.0700
2015-09-14,0.1109,3114.8000,-2.6700
2015-09-15,0.1119,3005.1700,-3.5200
