date,net_buy
2024-08-19,881.1055
2024-08-20,892.0195
2024-08-21,826.0371
2024-08-22,869.0061
2024-08-23,847.8927
2024-08-26,888.0086
2024-08-27,824.7279
2024-08-28,790.8200
2024-08-29,990.9847
2024-08-30,1677.8997
2024-09-02,1154.4154
2024-09-03,932.5628
2024-09-04,921.5574
2024-09-05,830.8414
2024-09-09,979.3837
2024-09-10,907.1611
2024-09-11,792.4830
2024-09-13,775.8424
2024-09-19,1134.3195
2024-09-20,1139.2068
2024-09-23,866.3300
2024-09-24,1653.1496
2024-09-25,1881.6744
2024-09-27,1825.7185
2024-09-30,3569.3224
2024-10-08,5101.0129
2024-10-10,3011.1960
2024-10-14,2527.7120
2024-10-15,2298.0429
2024-10-16,2207.2135
2024-10-17,2038.7175
2024-10-18,2965.8831
2024-10-21,2880.9996
2024-10-22,2409.0513
2024-10-23,2513.4291
2024-10-24,1975.7155
2024-10-25,2248.7791
2024-10-28,2262.6288
2024-10-29,2509.4682
2024-10-30,2354.9511
2024-10-31,2684.3472
2024-11-01,2649.9238
2024-11-04,2164.5426
2024-11-05,2636.6526
2024-11-06,2996.5933
2024-11-07,2834.9603
2024-11-08,3103.8647
2024-11-11,2916.9448
2024-11-12,3081.0706
2024-11-13,2550.3397
2024-11-15,2388.0169
2024-11-18,2571.9775
2024-11-19,2239.9825
2024-11-20,2037.0144
2024-11-22,2053.5763
2024-11-25,2245.4919
2024-11-26,1678.9273
2024-11-27,1827.0134
2024-11-28,1735.6246
2024-11-29,2074.5515
2024-12-02,2197.5367
2024-12-03,2001.3096
2024-12-04,1872.4958
2024-12-05,1651.4959
2024-12-06,1929.4790
2024-12-09,1870.6550
2024-12-10,2543.8276
2024-12-11,2063.6690
2024-12-12,2087.4548
2024-12-16,2025.1954
2024-12-17,1895.7605
2024-12-18,1631.9875
2024-12-19,1682.5213
2024-12-20,1764.0435
2024-12-23,1583.4185
2024-12-24,1332.5173
2024-12-27,1609.8575
2024-12-31,1773.3258
2025-01-02,2055.1967
2025-01-03,1859.5623
2025-01-06,1683.0054
2025-01-07,1609.4830
2025-01-08,1871.1984
2025-01-09,1439.6201
2025-01-10,1539.0358
2025-01-13,1567.3252
2025-01-14,1845.1353
2025-01-15,1624.0833
2025-01-16,1684.5011
2025-01-17,1533.0504
2025-01-20,1622.2272
2025-01-21,1498.8517
2025-01-22,1569.7852
2025-01-23,1888.1063
2025-01-24,1801.5120
2025-01-27,1663.2109
2025-02-05,1893.0018
2025-02-06,1908.0737
2025-02-07,2306.5865
2025-02-10,2056.9094
2025-02-11,1899.6478
2025-02-12,1948.6741
2025-02-13,2121.3650
2025-02-17,2235.0402
2025-02-18,2157.7395
2025-02-19,2074.4342
2025-02-20,2016.6521
2025-02-21,2424.0771
2025-02-25,2252.0816
2025-02-26,2249.2493
2025-02-27,2420.6116
2025-02-28,2691.9706
2025-03-03,2166.1618
2025-03-04,1910.3313
2025-03-05,1866.1961
2025-03-06,2198.6210
2025-03-07,2126.3693
2025-03-10,1896.1523
2025-03-11,1960.6713
2025-03-12,1917.5850
2025-03-13,1887.7840
2025-03-14,2386.4754
2025-03-17,2016.9116
2025-03-18,1841.1581
2025-03-19,1794.8740
2025-03-20,1607.2004
2025-03-21,2098.9455
2025-03-24,1826.2911
2025-03-25,1622.7344
2025-03-26,1486.2289
2025-03-27,1578.5704
2025-03-28,1481.5946
2025-03-31,1781.3226
2025-04-01,1559.7989
2025-04-02,1331.1563
2025-04-03,1621.9780
2025-04-07,2291.8500
2025-04-09,2715.8585
2025-04-10,2210.1602
2025-04-11,1878.7254
2025-04-14,1636.4696
2025-04-15,1340.0269
2025-04-16,1578.8353
2025-04-17,1177.8687
2025-04-22,1348.9672
2025-04-23,1518.4235
2025-04-24,1386.6425
2025-04-25,1422.4997
2025-04-28,1382.2166
2025-04-29,1362.7349
2025-04-30,1506.7502
2025-05-06,1741.1101
2025-05-07,1894.0516
2025-05-09,1341.3617
2025-05-12,1495.0436
2025-05-14,1596.4917
2025-05-15,1377.1937
2025-05-19,1225.1730
2025-05-20,1296.2961
2025-05-21,1287.8348
2025-05-22,1202.7218
2025-05-23,1362.2189
2025-05-26,1224.2160
2025-05-27,1110.6303
2025-05-28,1039.7273
2025-05-29,1378.4938
2025-05-30,1526.2152
2025-06-03,1575.4544
2025-06-04,1364.6393
2025-06-05,1421.6880
2025-06-06,1249.8565
2025-06-09,1412.9582
2025-06-10,1579.5410
2025-06-11,1432.0753
2025-06-12,1499.3502
2025-06-13,2137.0973
2025-06-16,1446.4344
2025-06-17,1369.2787
2025-06-18,1280.5845
2025-06-19,1322.2883
2025-06-20,1438.3907
2025-06-23,1377.3572
2025-06-24,1605.6052
2025-06-25,1716.3371
2025-06-26,1578.4779
2025-06-27,1578.7326
2025-07-02,1454.4745
2025-07-03,1463.8911
2025-07-04,1591.2010
2025-07-07,1367.6437
2025-07-08,1676.6582
2025-07-09,1818.9090
2025-07-10,2022.6382
2025-07-11,2455.0412
2025-07-14,1912.0325
2025-07-15,2016.5749
2025-07-16,1834.9761
2025-07-17,1846.8958
2025-07-18,1946.2070
2025-07-21,2086.9538
2025-07-22,2414.9724
2025-07-23,2376.2478
2025-07-24,2407.1581
2025-07-25,2282.1368
2025-07-28,2266.7112
2025-07-29,2334.3147
2025-07-30,2391.4434
2025-07-31,2566.9966
2025-08-01,2176.1226
2025-08-04,1946.9117
2025-08-05,1990.9593
2025-08-06,2006.8634
2025-08-07,2210.1539
2025-08-11,2269.9999
