date,net_buy,hs_index
2014-11-17,21.3208,23797.0800
2014-11-18,9.3716,23529.1700
2014-11-19,2.6592,23373.3100
2014-11-20,1.8736,23349.6400
2014-11-21,1.7453,23437.1200
2014-11-24,1.2375,23893.1400
2014-11-25,1.5890,23843.9100
2014-11-26,1.9981,24111.9800
2014-11-27,1.5569,24004.2800
2014-11-28,2.9349,23987.4500
2014-12-01,2.9601,23367.4500
2014-12-02,2.8899,23654.3000
2014-12-03,4.9591,23428.6200
2014-12-04,4.0836,23832.5600
2014-12-05,16.5097,24002.6400
2014-12-08,5.5282,24047.6700
2014-12-09,8.5031,23485.8300
2014-12-10,4.0220,23524.5200
2014-12-11,5.1486,23312.5400
2014-12-12,3.1107,23249.2000
2014-12-15,1.6863,23027.8500
2014-12-16,4.0925,22670.5000
2014-12-17,3.3327,22585.8400
2014-12-18,4.1297,22832.2100
2014-12-19,2.2743,23116.6300
2014-12-22,3.6857,23408.5700
2014-12-23,5.5139,23333.6900
2014-12-24,2.7646,23349.3400
2015-01-05,19.3574,23721.3200
2015-01-06,10.4646,23485.4100
2015-01-07,9.4060,23681.2600
2015-01-08,6.2125,23835.5300
2015-01-09,8.4583,23919.9500
2015-01-12,9.3783,24026.4600
2015-01-13,6.4572,24215.9700
2015-01-14,7.4810,24112.6000
2015-01-15,5.9814,24350.9100
2015-01-16,10.4511,24103.5200
2015-01-19,8.7133,23738.4900
2015-01-20,6.2791,23951.1600
2015-01-21,9.9085,24352.5800
2015-01-22,5.4947,24522.6300
2015-01-23,4.9983,24850.4500
2015-01-26,6.5131,24909.9000
2015-01-27,8.7694,24807.2800
2015-01-28,2.8484,24861.8100
2015-01-29,5.7588,24595.8500
2015-01-30,5.0821,24507.0500
2015-02-02,4.4089,24484.7400
2015-02-03,2.1343,24554.7800
2015-02-04,-0.7784,24679.7600
2015-02-05,0.5129,24765.4900
2015-02-06,-0.3094,24679.3900
2015-02-09,0.5330,24521.0000
2015-02-10,0.5231,24528.1000
2015-02-11,1.5884,24315.0200
2015-02-12,2.0399,24422.1500
2015-02-13,2.9277,24682.5400
2015-02-25,4.1097,24778.2800
2015-02-26,2.1462,24902.0600
2015-02-27,2.1263,24823.2900
2015-03-02,1.2831,24887.4400
2015-03-03,2.0609,24702.7800
2015-03-04,3.5526,24465.3800
2015-03-05,1.9999,24193.0400
2015-03-06,2.0291,24164.0000
2015-03-09,3.0991,24123.0500
2015-03-10,2.2411,23896.9800
2015-03-11,2.8653,23717.9700
2015-03-12,1.6885,23797.9600
2015-03-13,1.0612,23823.2100
2015-03-16,7.3823,23949.5500
2015-03-17,5.0011,23901.4900
2015-03-18,2.4185,24120.0800
2015-03-19,0.5199,24468.8900
2015-03-20,1.8989,24375.2400
2015-03-23,4.1431,24494.5100
2015-03-24,5.4326,24399.6000
2015-03-25,3.7418,24528.2300
2015-03-26,3.0140,24497.0800
2015-03-27,4.6194,24486.2000
2015-03-30,28.1296,24855.1200
2015-03-31,22.2008,24900.8900
2015-04-01,17.6582,25082.7500
2015-04-02,24.5086,25275.6400
2015-04-08,111.6366,26236.8600
2015-04-09,108.3478,26944.3900
2015-04-10,57.0283,27272.3900
2015-04-13,19.5801,28016.3400
2015-04-14,26.3611,27561.4900
2015-04-15,1.2228,27618.8200
2015-04-16,2.2417,27739.7100
2015-04-17,18.4802,27653.1200
2015-04-20,-1.9326,27094.9300
2015-04-21,5.5580,27850.4900
2015-04-22,21.7294,27933.8500
2015-04-23,49.3955,27827.7000
2015-04-24,6.6660,28060.9800
2015-04-27,17.3062,28433.5900
2015-04-28,8.9370,28442.7500
2015-04-29,9.2274,28400.3400
2015-04-30,22.7737,28133.0000
2015-05-04,10.7999,28123.8200
2015-05-05,6.1419,27755.5400
2015-05-06,5.1613,27640.9100
2015-05-07,0.5479,27289.9700
2015-05-08,-0.3703,27577.3400
2015-05-11,10.8739,27718.2000
2015-05-12,13.9199,27407.1800
2015-05-13,6.8674,27249.2800
2015-05-14,7.2257,27286.5500
2015-05-15,0.7875,27822.2800
2015-05-18,0.8200,27591.2500
2015-05-19,9.6184,27693.5400
2015-05-20,10.7757,27585.0500
2015-05-21,0.1150,27523.7200
2015-05-22,4.9705,27992.8300
2015-05-26,20.4053,28249.8600
2015-05-27,13.2421,28081.2100
2015-05-28,-2.7486,27454.3100
2015-05-29,7.7329,27424.1900
2015-06-01,12.4204,27597.1600
2015-06-02,6.5521,27466.7200
2015-06-03,5.1317,27657.4700
2015-06-04,2.1486,27551.8900
2015-06-05,12.4580,27260.1600
2015-06-08,7.0348,27316.2800
2015-06-09,10.8703,26989.5200
2015-06-10,10.2005,26687.6400
2015-06-11,11.1733,26907.8500
2015-06-12,8.1255,27280.5400
2015-06-15,4.9808,26861.8100
2015-06-16,6.3588,26566.7000
2015-06-17,5.9103,26753.7900
2015-06-23,-3.1802,27333.4600
2015-06-24,7.3416,27404.9700
2015-06-25,5.0403,27145.7500
2015-06-26,-13.9087,26663.8700
2015-06-29,-6.5652,25966.9800
2015-06-30,-3.5123,26250.0300
2015-07-02,-11.6904,26282.3200
2015-07-03,-17.5577,26064.1100
2015-07-06,-22.3195,25236.2800
2015-07-07,-23.3320,24975.3100
2015-07-08,-28.2280,23516.5600
2015-07-09,15.2078,24392.7900
2015-07-10,19.4730,24901.2800
2015-07-13,2.3399,25224.0100
2015-07-14,4.7238,25120.9100
2015-07-15,-13.0355,25055.7600
2015-07-16,1.7483,25162.7800
2015-07-17,-2.1199,25415.2700
2015-07-20,1.1062,25404.8100
2015-07-21,-0.8083,25536.4300
2015-07-22,5.1289,25282.6200
2015-07-23,2.9199,25398.8500
2015-07-24,3.3924,25128.5100
2015-07-27,-1.6892,24351.9600
2015-07-28,-0.1930,24503.9400
2015-07-29,4.9579,24619.4500
2015-07-30,0.3833,24497.9800
2015-07-31,-1.0497,24636.2800
